count(*),tweetday,account
1254,Dec,EMTrains
827,Nov,EMTrains
1381,Dec,GNRailUK
555,Nov,GNRailUK
2650,Dec,GWRHelp
2442,Nov,GWRHelp
116,Nov,HeathrowExpress
148,Nov,LDNOverground
1960,Nov,LNER
474,Nov,LNRailway
2839,Nov,SW_Help
539,Nov,SW_Railway
2117,Nov,ScotRail
2588,Nov,Se_Railway
1983,Dec,SouthernRailUK
1390,Nov,SouthernRailUK
790,Dec,Stansted_Exp
461,Nov,Stansted_Exp
1754,Dec,TLRailUK
925,Nov,TLRailUK
500,Nov,TPEAssist
394,Nov,TfLRail
3143,Nov,VirginTrains
564,Nov,WestMidRailway
702,Dec,c2c_Rail
938,Nov,c2c_Rail
627,Dec,chilternrailway
623,Nov,chilternrailway
318,Dec,ga_mainline
350,Nov,ga_mainline
354,Dec,ga_regional
230,Nov,ga_regional
379,Dec,ga_westanglia
256,Nov,ga_westanglia
2519,Dec,greateranglia
3156,Nov,greateranglia
451,Nov,merseyrail
1740,Nov,nationalrailenq
356,Nov,networkrail
3233,Nov,northernassist
