count(*),account,sorrytrue,sorryfalse
259,,0,1
47,,1,0
2915,ArrivaTW,0,1
317,ArrivaTW,1,0
3525,EMTrains,0,1
439,EMTrains,1,0
620,Elizabethline,0,1
18,Elizabethline,1,0
3028,GNRailUK,0,1
832,GNRailUK,1,0
3522,GWRHelp,0,1
1111,GWRHelp,1,0
2613,HeathrowExpress,0,1
606,HeathrowExpress,1,0
2753,LDNOverground,0,1
475,LDNOverground,1,0
2773,LNER,0,1
435,LNER,1,0
2418,LNRailway,0,1
806,LNRailway,1,0
1915,NRE_TfLRail,0,1
4,NRE_TfLRail,1,0
2298,SW_Help,0,1
927,SW_Help,1,0
2064,SW_Railway,0,1
1156,SW_Railway,1,0
2679,ScotRail,0,1
527,ScotRail,1,0
2702,Se_Railway,0,1
517,Se_Railway,1,0
3428,SouthernRailUK,0,1
910,SouthernRailUK,1,0
3588,Stansted_Exp,0,1
136,Stansted_Exp,1,0
3376,TLRailUK,0,1
767,TLRailUK,1,0
2892,TPEAssist,0,1
322,TPEAssist,1,0
2834,TfLRail,0,1
411,TfLRail,1,0
2882,VirginTrains,0,1
361,VirginTrains,1,0
2450,WestMidRailway,0,1
780,WestMidRailway,1,0
3673,c2c_Rail,0,1
206,c2c_Rail,1,0
2934,chilternrailway,0,1
700,chilternrailway,1,0
3485,ga_mainline,0,1
49,ga_mainline,1,0
3504,ga_regional,0,1
30,ga_regional,1,0
3450,ga_westanglia,0,1
50,ga_westanglia,1,0
4086,greateranglia,0,1
549,greateranglia,1,0
2638,merseyrail,0,1
566,merseyrail,1,0
3078,nationalrailenq,0,1
165,nationalrailenq,1,0
2892,networkrail,0,1
329,networkrail,1,0
1816,northernassist,0,1
1417,northernassist,1,0
4132,tlupdates,0,1
64,tlupdates,1,0
