"","Train Operating Company (TOC)","Delay Type","Category of Delay","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2017-18","SUM(`2011-12`)","SUM(`2017-18`)","change1118","pcchange1118"
"1","Merseyrail","TOC-on-Self","Traincrew",3431.1,5150.549999,12382.8,8947.149998,8093.5,9407.056,12540,3431.1,12540,9108.9,2.65480458162105
"2","Govia Thameslink Railway","TOC-on-Self","Traincrew",98114.8,133879.5,139804.5,227235.193997,336223.373985,535060.999983,315582.691991,98114.8,315582.691991,217467.891991,2.21646369345909
"3","c2c","TOC-on-Self","Traincrew",2432.5,1750,2276.5,2235,4359,6310.596,7251.257999,2432.5,7251.257999,4818.757999,1.98098992764645
"4","Heathrow Express","TOC-on-Self","Traincrew",288,260.5,289.5,466,233,430,849,288,849,561,1.94791666666667
"5","TransPennine Express","TOC-on-Self","Traincrew",5375.28,7767.9,14277.209999,13972.139999,22013.5,14398.589998,15509.485995,5375.28,15509.485995,10134.205995,1.88533546066437
"6","Great Western Railway","TOC-on-Self","Traincrew",43551.229999,55721.5,55347.59,47175,43846.25,54285.997498,95947.722996,43551.229999,95947.722996,52396.492997,1.20310018794425
"7","South Western Railway","TOC-on-Self","Traincrew",42646.389999,43329.5,46532,57642,67224.5,65001.618999,88805,42646.389999,88805,46158.610001,1.08235679507884
"8","West Midlands Trains","TOC-on-Self","Traincrew",38940,86199.5,75101.7,63586.5,83240,68521.688,74695.659997,38940,74695.659997,35755.659997,0.918224447791474
"9","TfL Rail","TOC-on-Self","Traincrew",1749,2370.5,1969,2598.5,2193.5,1918.5,3009.921999,1749,3009.921999,1260.921999,0.72093882161235
"10","Virgin Trains West Coast","TOC-on-Self","Traincrew",10735.5,10492.8,9672,9341.6,10604.48,7043.381999,15824.131996,10735.5,15824.131996,5088.631996,0.474000465371897
"11","Northern","TOC-on-Self","Traincrew",67061.819999,78379.869996,77351.5,99123,77260,76105.149994,97714.411991,67061.819999,97714.411991,30652.591992,0.457079631785375
"12","East Midlands Trains","TOC-on-Self","Traincrew",10966.5,13721.699999,20087.5,12797.5,11687.5,12934.667998,13942.859998,10966.5,13942.859998,2976.359998,0.271404732412347
"13","Virgin Trains East Coast","TOC-on-Self","Traincrew",5356,5359.5,5095.399998,4396.099999,3950,5636.828996,6787.731999,5356,6787.731999,1431.731999,0.267313666728902
"14","ScotRail","TOC-on-Self","Traincrew",43535,31264,40607,49403.5,53574,59396.923994,50518.467489,43535,50518.467489,6983.46748900001,0.160410416653268
"15","Greater Anglia","TOC-on-Self","Traincrew",26659.589998,23341.389998,24669.89,22279.2,28088.569999,34672.165998,30513.074994,26659.589998,30513.074994,3853.484996,0.144544045736978
"16","Southeastern","TOC-on-Self","Traincrew",46168.499998,37916.849999,42542.139998,50891.2,71288.109998,54815.649998,52018.355996,46168.499998,52018.355996,5849.85599800001,0.126706650600592
"17","Chiltern Railways","TOC-on-Self","Traincrew",15271,11773.5,11760,9738.6,16662.159999,19051.065998,15402.157,15271,15402.157,131.156999999999,0.00858863204767201
"18","Grand Central","TOC-on-Self","Traincrew",1010.5,1753,1510,719,934.5,1100,1013.767,1010.5,1013.767,3.26700000000005,0.00323305294408714
"19","Hull Trains","TOC-on-Self","Traincrew",427,498,602.5,369.5,227,390.5,393,427,393,-34,-0.0796252927400468
"20","Arriva Trains Wales","TOC-on-Self","Traincrew",33335.5,32004,33330.199999,37037,50961.438299,51570.667999,29443.695999,33335.5,29443.695999,-3891.804001,-0.116746531505452
"21","CrossCountry","TOC-on-Self","Traincrew",13840.5,13131.5,16005.969998,16475.409997,11516.289999,9119.829999,9922.219996,13840.5,9922.219996,-3918.280004,-0.283102489360934
"22","London Overground","TOC-on-Self","Traincrew",11217,7460,8486,6276,9079.5,6783.56,7881.863999,11217,7881.863999,-3335.136001,-0.297328697601854
"23","Caledonian Sleeper","TOC-on-Self","Traincrew",NA,NA,NA,NA,3504.833,1745.004,1494.607998,NA,1494.607998,NA,NA
