"","screenname","account","count(*)"
"1","ga_westanglia","ga_westanglia",3634
"2","ga_regional","ga_regional",3621
"3","ga_mainline","ga_mainline",3613
"4","Stansted_Exp","Stansted_Exp",3206
"5","greateranglia","greateranglia",1970
"6","NRE_TfLRail","NRE_TfLRail",1804
"7","TfLRail","TfLRail",1737
"8","LDNOverground","LDNOverground",1602
"9","nationalrailenq","nationalrailenq",1541
"10","HeathrowExpress","HeathrowExpress",1031
"11","merseyrail","merseyrail",971
"12","chilternrailway","chilternrailway",517
"13","SouthernRailUK","SouthernRailUK",429
"14","c2c_Rail","c2c_Rail",409
"15","TLRailUK","TLRailUK",394
"16","LNRailway","LNRailway",382
"17","GNRailUK","GNRailUK",348
"18","WestMidRailway","WestMidRailway",323
"19","ScotRail","ScotRail",305
"20","ArrivaTW","ArrivaTW",268
"21","northernassist","northernassist",238
"22","Se_Railway","Se_Railway",236
"23","eutc_alerts","tlupdates",233
"24","LNER","LNER",210
"25","TPEassist","TPEAssist",203
"26","networkrail","networkrail",197
"27","Beckychoirgirl","WestMidRailway",196
"28","EMTrains","EMTrains",157
"29","SW_Help","SW_Help",111
"30","ThomasB472","nationalrailenq",102
"31","transp4bro_cro","tlupdates",75
"32","Merseytravel","merseyrail",73
"33","elizabethline","Elizabethline",64
"34","wembleystadium","chilternrailway",64
"35","Crossrail","Elizabethline",63
"36","SW_Railway","SW_Railway",63
"37","SouthernRailUK","tlupdates",63
"38","networkrail","NRE_TfLRail",62
"39","TL_GN_Help","tlupdates",59
"40","philbey17","GNRailUK",58
"41","NotGTRFranchise","tlupdates",54
"42","DroitwichLefty","WestMidRailway",52
"43","nationalrailenq","chilternrailway",52
"44","C0DE__002","tlupdates",49
"45","_Marc_74","tlupdates",46
"46","HeathrowAirport","HeathrowExpress",43
"47","Se_Railway","tlupdates",43
"48","NetworkRailSCOT","ScotRail",41
"49","blyellhvh","GNRailUK",40
"50","Se_Railway","nationalrailenq",40
"51","NetworkRailSE","SouthernRailUK",39
"52","EvLenz","WestMidRailway",39
"53","sean_ruddy_1","SouthernRailUK",38
"54","round_windows","GWRHelp",37
"55","TfL","Elizabethline",36
"56","LM_Georgia","VirginTrains",36
"57","VirginTrains","VirginTrains",36
"58","northernassist","nationalrailenq",34
"59","CoyModemKnight","tlupdates",34
"60","_Marc_74","TLRailUK",33
"61","Crossrail","TfLRail",33
"62","Pborotrains","tlupdates",33
"63","c_colyer","tlupdates",33
"64","C0DE__002","GNRailUK",32
"65","Southcitygirl83","c2c_Rail",31
"66","networkrail","c2c_Rail",30
"67","ColinLefty","GWRHelp",28
"68","Lucy70107897","GWRHelp",28
"69","caterham7","GNRailUK",27
"70","SteveStevens47","GWRHelp",27
"71","jamesdgreen02","TLRailUK",27
"72","GWRHelp","GWRHelp",26
"73","mushroom255","LNRailway",26
"74","LNER","nationalrailenq",26
"75","jonnywadsagod","ArrivaTW",25
"76","colum26","GNRailUK",25
"77","mokofil","WestMidRailway",25
"78","SW_Help","nationalrailenq",25
"79","greateranglia","networkrail",25
"80","acinderellaline","tlupdates",25
"81","newbury","TfLRail",24
"82","SFarkelife","greateranglia",23
"83","Peter_Mugridge","networkrail",23
"84","nationalrailenq","ArrivaTW",22
"85","baker2702","GNRailUK",22
"86","Mark48111170","WestMidRailway",22
"87","hzzzzrr","greateranglia",22
"88","nationalrailenq","networkrail",22
"89","MaryRosePoppins","GNRailUK",21
"90","Dailyrant123","VirginTrains",21
"91","Westmidcommuter","WestMidRailway",21
"92","macnovel","chilternrailway",21
"93","BTPMersey","merseyrail",21
"94","ScotRail","nationalrailenq",21
"95","RedhillRail","tlupdates",21
"96","Sarah99Linc","tlupdates",21
"97","Stuart73269692","tlupdates",21
"98","nationalrailenq","tlupdates",21
"99","paulclarke84","GNRailUK",20
"100","sltpbr","GNRailUK",20
